tx_hash,tx_sent_time,tx_mined_time,latency,gas_used,block_num,block_time,num_tx_in_block
0x490ffcf122ba60e8177c3a808cc2f373c7b2e2ed024f3dbe1ac7af02fd3079c9,1699976505,1699976508,3,58603,376,5,26
0x47b34bcdd6253dd2fe8ada7c0fed6802a748e61c310c4264f66ba93a43cde7a6,1699976507,1699976513,6,101249,377,5,23
0x2e4c187f3f5f3048a7e8e6539dcb92187aea449e4075e6ff746e486ae83aa0b2,1699976508,1699976513,5,64134,377,5,23
0x1ba04da9a9e4d1b694facf26278bf070d20abeef27efbd8d6da72d61e46769d0,1699976513,1699976518,5,62803,378,5,10
0x26891044c296a1827518d10868f85b8839b4adc7ec7345e81610698acd691292,1699976515,1699976518,3,101249,378,5,10
0x2fce2829f0869568fe48259c67bfad735403dc507c51a07e285f6bb4994ff486,1699976517,1699976523,6,64134,379,5,31
0x59cf801a97f8bfb77391986c6bc900ffb6ae442638723808557bb7e18829bd77,1699976521,1699976523,2,62803,379,5,31
0x61dc13a14a3590bb393571d68c2c775884c9c40057c7bca10c8e2a76c3d33207,1699976523,1699976528,5,101249,380,5,2
0x2b1b03c6e35d77e61fb350582f19401d4f2ba82f91bc74d6f54b9d6f27cf21a9,1699976525,1699976528,3,64085,380,5,2
0x5a5eda0c1cbd3765aec8aef69234c3ce0463369ab8f52d66941ed8dfd151b8bc,1699976530,1699976533,3,62803,381,5,30
0xe936a5bacc4ebc9dc368388b84fdd00c6a329c81914307cd4641d887280157e3,1699976531,1699976538,7,69695,382,5,20
0x728680b39da2ed09e8e93d7b8dc730cbf2ccd120f9d6cea043fc0af05c816e1d,1699976533,1699976538,5,103990,382,5,20
0x26b610827afc6d310f18664dfbcc125e5ce40f09575631d5e1d29c0f886cadb5,1699976538,1699976543,5,62803,383,5,13
0x58e7bc10808ac74247451dd1ba13194bfea21f420092dac58e7dca7e74d9c79c,1699976540,1699976543,3,69695,383,5,13
0x218969ad87e1c21735e45e411b4c11dcf4d794d5c588df69fd05bb2d7af33173,1699976542,1699976548,6,103990,384,5,30
0x48b7b8e2a5b280550f300abeab2286f834bfc0b33fbc177dd03ab80515396ce3,1699976546,1699976553,7,62803,385,5,11
0x9549e45fcf274abdf66fd7458005b521b15d5b42d35bc712f1ba6a140e529434,1699976548,1699976553,5,61393,385,5,11
0xeedc4ad85a3d8dba7e1908706abcb27f45a8abf2e5a4c9dd46b15a7ab2b8396a,1699976550,1699976553,3,68285,385,5,11
0xd4eb6da59251b3e15de449d3c0fdbee01955812f8aadb8bdbff4bb50dbb3bd9f,1699976554,1699976558,4,58603,386,5,22
0x3f023bb120eba3dd683826b72b7ef93ab6cf2758d2cc35fd6e2dfd174e254ce7,1699976556,1699976563,7,101249,387,5,26
0x1a670b44764a0d538b57a1fa92171114c2938d2de80c52b194ab840c6e1b9253,1699976558,1699976563,5,64085,387,5,26
0xc097bc90f49356a0b23bdcee1275eb47e02c90717abc9aeaff0911c79ffe1a17,1699976563,1699976568,5,62803,388,5,7
0x8a77da4befcb2fa706292b6b625aab0a618a157fb58e82e8cabbed52b5af60ac,1699976565,1699976568,3,61393,388,5,7
0x3343b4b6a7ce88fa17551493732b648cb71b683fabc65e5be407ce0cb4986ebd,1699976566,1699976573,7,68285,389,5,31
0x23ed542e8cad4b95624194c7163e48aa2028e4add4f0cb5c7381bbb21a4dfab9,1699976571,1699976573,2,58603,389,5,31
0xccdbfc79323e6d7703d76e9a1771716d94177035d55b46acea335fc297a010b8,1699976573,1699976578,5,101249,390,5,2
0x5e18bc84cb1dba6995335524a9903e2dc06a376d6999b1c7aff212694ad94121,1699976575,1699976578,3,64085,390,5,2
0x8b6dd38d3a6eb5cd7e423bb79b1f34d393bb90414de26353d0dc91441903d0ef,1699976579,1699976583,4,62803,391,5,30
